#OTUID	taxonomy	confidence
0327062c6d6a81f68b7d390a0c147c7c	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0329a0dc66b60ef277e1c1af77f568b2	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
03341bdba55b19ce9680c2024d9e5130	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
033c60fd6e6c930569ea7aa967d195ed	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
033fc5d173761e620dad3fdf4717b7e7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
0342cfa4ccb7cd5cc438935858a1c95e	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0347e1f044ad02372cea239c2b29d80b	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
0351cf56577890283e8df6d87e1e975f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
03588fefd32ba270406cfbe5509ae25f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.6
0362455518ad25f24e74edffb3870b72	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0366bcfc52a8b51291cf0f2b4d287686	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
037c941f44e70032fae99b6b6361850f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
038b7423130c16bdef62c0a0edd8ec3d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
039806ab1114861874895b6ab4c06529	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.65
03ab392b53e23207dfb97204c227d796	k__Metazoa;p__Arthropoda;c__Insecta	1.0
03b45978cc5e8297f307a14ec02a1bbd	k__Metazoa;p__Arthropoda;c__Insecta	1.0
03b4f408ee826c2460d8dd5dfb3c56ea	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
03b85174f46cf4ab267aed260f08e015	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
03cd2aef28603b45a6ea136d735a3a40	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.636
03d2aed8288f3d6a19e12666597cd907	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
03dfe03069657a08f4d865f1678bc17d	k__Metazoa;p__Arthropoda;c__Insecta	1.0
03e5731269a7695dabfa487e3a4ee5c6	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
04036504201aa11af6257223add4509b	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
0423a3f67f3d240c35e30b0825b6e379	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0432708e42aa8988498ccedcbb0a5241	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
04415168e72ca8eba16f9da522135379	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
045125ccb92cf531e007e2048247242c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0453515b0c2247f012ba24db642cec68	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
046200538f84862aecd91dfb844d349d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
046b4a6ac66b6d553562ae629d323c2c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
0473f57b9ecd16475f9f53a382824ba4	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0477b5a42b8b7ea8c7225a961109aa16	k__Metazoa;p__Arthropoda;c__Insecta	1.0
04865b37f663f27cb59089840fab5530	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
0489a6c35e4a7d9959ddabbda56073d5	k__Metazoa;p__Arthropoda;c__Insecta	1.0
04a868f1f48b8eeb82d419da79898aa4	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
04b7686ddb5053672d255a8b3ea7ebb2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
04cbec1dcdd13757110befcaeaad28c0	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
04e6033a598485ec9b0ded30a51fe1d3	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
04e8502b1f127ee93a6b346f77d3dd97	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
04fab354cea3a3f2bbabdc86ac6eedb9	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
04ffd0cb2b6228c278bcfb8678cfc7aa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0500dc25539a7adcc175185181f68189	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
05028acc0eeb8b5bed4b8902e7e5ad73	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
051bf45dad8190cc0aa408881fd8e6a5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
051dbfcec25c24bece4cab4ad1d6a210	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.65
05246c6a1f561071d67e94291981e818	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0530111378c4ed1035df51fe97db65c2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
05372a865dccf21cd1e485e07590c3d8	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
053edc7975ca2cc06c93686295c2eecc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
05432073aac37054825238d9871822b9	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0558a58d6f3f575e613204bf4e715ed5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0561d35e8d64cbd7df63f6178bbb3d91	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
05723c0a46dbec1f364230704641c51c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
05916124080366d280c107431b14c4a6	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
05aa91aad371e92e50f265519c711517	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
05b53e15838bb71f95707ce01ff1571f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
05c2897b4a4ffe40af3015e255044a56	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
